child_id,mother_id,race_code,sex_code,birth_month,birth_year,birth_order,mother_age_at_birth,highest_grade_category,highest_degree_code,has_ged,has_hs_diploma,has_associates,has_ba,has_bs,has_masters,has_phd,has_professional_degree,snap_1994,snap_1996,snap_1998,snap_2000,snap_2002,snap_2004,snap_2006,snap_2008,snap_2010,snap_2012,snap_2014,snap_2016,snap_2018,tanf_afdc_1994,tanf_afdc_1996,tanf_afdc_1998,tanf_afdc_2000,tanf_afdc_2002,tanf_afdc_2004,tanf_afdc_2006,tanf_afdc_2008,tanf_afdc_2010,tanf_afdc_2012,tanf_afdc_2014,tanf_afdc_2016,tanf_afdc_2018,mother_educ_1979,mother_educ_1994,mother_educ_2006,mother_educ_2006_revised,mother_educ_2008,mother_educ_2012,father_in_hh_1994,father_in_hh_1996,father_in_hh_1998,father_in_hh_2000,father_in_hh_2002,father_in_hh_2004,father_in_hh_2006,race,sex,female,valid_snap_waves,valid_tanf_afdc_waves,snap_wave_count,tanf_afdc_wave_count,any_snap,any_tanf_afdc,exposure_group,hs_or_more_from_grade,associate_or_more_from_grade,bachelors_or_more_from_grade,hs_or_more_from_degree,associate_or_more_from_degree,bachelors_or_more_from_degree,mother_educ_latest,mother_educ_baseline_1979,valid_father_hh_waves,father_in_hh_wave_count,father_in_hh_any,region,urban_rural,ppvt_avg,math_avg,ppvt_earliest,math_earliest,ever_worked,avg_earn_per_wk,avg_work_freq
2502,25,3,2.0,8.0,1993,2,33.0,8.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,13.0,14.0,14.0,14.0,14.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Non-Black, Non-Hispanic",Female,1.0,4,1,0,0,0.0,0.0,Neither,1.0,1.0,1.0,1.0,1.0,1.0,14.0,13.0,7,7,1.0,Northeast,Rural,58.0,35.666666666666664,25.0,14.0,0.0,,
2701,27,3,2.0,2.0,1988,1,27.0,10.0,6.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,12.0,16.0,16.0,16.0,16.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,,"Non-Black, Non-Hispanic",Female,1.0,7,1,0,0,0.0,0.0,Neither,1.0,1.0,1.0,1.0,1.0,1.0,16.0,12.0,6,6,1.0,Northeast,Urban,93.0,50.8,62.0,21.0,1.0,2000.0,4.0
2702,27,3,1.0,1.0,1992,2,31.0,8.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,12.0,16.0,16.0,16.0,16.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"Non-Black, Non-Hispanic",Male,0.0,5,1,0,0,0.0,0.0,Neither,1.0,1.0,1.0,1.0,1.0,1.0,16.0,12.0,7,6,1.0,Northeast,Urban,80.5,54.4,47.0,17.0,0.0,,
3001,30,3,1.0,12.0,1982,1,24.0,8.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,12.0,12.0,12.0,12.0,14.0,14.0,1.0,1.0,1.0,1.0,,1.0,0.0,"Non-Black, Non-Hispanic",Male,0.0,6,0,0,0,0.0,,,1.0,1.0,1.0,1.0,1.0,1.0,14.0,12.0,6,5,1.0,,Rural,,,,,,,
3002,30,3,1.0,3.0,1987,2,28.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,12.0,12.0,12.0,12.0,14.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"Non-Black, Non-Hispanic",Male,0.0,6,0,0,0,0.0,,,1.0,0.0,0.0,1.0,0.0,0.0,14.0,12.0,7,6,1.0,,Rural,,,,,,,
3003,30,3,1.0,10.0,1991,3,32.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,12.0,12.0,12.0,12.0,14.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,,"Non-Black, Non-Hispanic",Male,0.0,5,1,0,0,0.0,0.0,Neither,1.0,0.0,0.0,1.0,0.0,0.0,14.0,12.0,6,6,1.0,,,,,,,0.0,,
3501,35,3,2.0,5.0,1990,1,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,13.0,,,,,1.0,1.0,1.0,,,,,"Non-Black, Non-Hispanic",Female,1.0,0,0,0,0,,,,,,,,,,13.0,9.0,3,3,1.0,,,,29.0,,29.0,,,
3502,35,3,2.0,6.0,1993,2,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,13.0,,,,,1.0,1.0,1.0,,,,1.0,"Non-Black, Non-Hispanic",Female,1.0,0,0,0,0,,,,,,,,,,13.0,9.0,4,4,1.0,,,65.0,12.0,65.0,12.0,,,
3701,37,3,2.0,4.0,1990,1,31.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,12.0,12.0,12.0,12.0,12.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Non-Black, Non-Hispanic",Female,1.0,3,0,0,0,0.0,,,1.0,0.0,0.0,1.0,0.0,0.0,12.0,12.0,7,7,1.0,South,Urban,42.0,40.666666666666664,42.0,13.0,0.0,,
4301,43,3,2.0,10.0,1982,1,21.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,11.0,12.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,,,0.0,,"Non-Black, Non-Hispanic",Female,1.0,8,8,1,1,1.0,1.0,Both SNAP and TANF/AFDC,1.0,0.0,0.0,1.0,0.0,0.0,12.0,11.0,4,0,0.0,Northeast,Urban,65.66666666666667,35.6,16.0,11.0,,,
4302,43,3,2.0,2.0,1989,2,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,0.0,0.0,0.0,11.0,12.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Non-Black, Non-Hispanic",Female,1.0,6,3,1,0,1.0,0.0,SNAP only,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,7,1,1.0,Northeast,Urban,85.0,30.0,61.0,7.0,0.0,,
4303,43,3,2.0,2.0,1997,3,35.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,11.0,12.0,12.0,12.0,12.0,12.0,,,1.0,1.0,1.0,0.0,,"Non-Black, Non-Hispanic",Female,1.0,2,0,2,0,1.0,,,1.0,0.0,0.0,1.0,0.0,0.0,12.0,11.0,4,3,1.0,Northeast,Urban,72.0,37.6,40.0,8.0,0.0,,
4304,43,3,2.0,4.0,2000,4,38.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,12.0,12.0,12.0,12.0,12.0,,,,1.0,1.0,0.0,1.0,"Non-Black, Non-Hispanic",Female,1.0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,4,3,1.0,Northeast,Urban,59.5,25.8,40.0,11.0,1.0,2000.0,5.0
4401,44,3,2.0,9.0,1981,1,20.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,0.0,,,0.0,,,,,,0.0,,0.0,,0.0,11.0,,12.0,12.0,12.0,12.0,,1.0,1.0,1.0,,,,"Non-Black, Non-Hispanic",Female,1.0,7,4,0,0,0.0,0.0,Neither,1.0,0.0,0.0,1.0,0.0,0.0,12.0,11.0,3,3,1.0,Northeast,Urban,88.5,38.0,59.0,24.0,,,
4402,44,3,2.0,7.0,1985,2,24.0,7.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,1.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,,0.0,11.0,,12.0,12.0,12.0,12.0,,1.0,1.0,1.0,1.0,1.0,,"Non-Black, Non-Hispanic",Female,1.0,6,5,1,0,1.0,0.0,SNAP only,1.0,1.0,0.0,1.0,1.0,0.0,12.0,11.0,5,5,1.0,Northeast,Urban,87.33333333333333,34.75,41.0,14.0,,,
4601,46,3,2.0,4.0,1994,1,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,19.0,19.0,19.0,16.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Non-Black, Non-Hispanic",Female,1.0,0,0,0,0,,,,,,,,,,16.0,9.0,7,7,1.0,,,90.0,38.5,90.0,25.0,0.0,,
4602,46,3,2.0,7.0,1997,2,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,19.0,19.0,19.0,16.0,,,,1.0,1.0,1.0,1.0,,"Non-Black, Non-Hispanic",Female,1.0,0,0,0,0,,,,,,,,,,16.0,9.0,4,4,1.0,,,47.0,37.0,47.0,37.0,,,
4901,49,3,1.0,12.0,1982,1,24.0,8.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,14.0,14.0,14.0,14.0,14.0,14.0,1.0,1.0,1.0,1.0,1.0,,1.0,"Non-Black, Non-Hispanic",Male,0.0,8,1,0,0,0.0,0.0,Neither,1.0,1.0,1.0,1.0,1.0,1.0,14.0,14.0,6,6,1.0,Northeast,Urban,90.33333333333333,47.8,47.0,19.0,,,
4902,49,3,1.0,3.0,1987,2,28.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,14.0,14.0,14.0,14.0,14.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Non-Black, Non-Hispanic",Male,0.0,6,0,0,0,0.0,,,1.0,0.0,0.0,1.0,0.0,0.0,14.0,14.0,7,7,1.0,Northeast,Urban,100.0,37.5,96.0,16.0,,,
5001,50,3,1.0,7.0,1985,1,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,0.0,9.0,12.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,,,"Non-Black, Non-Hispanic",Male,0.0,3,2,0,0,0.0,0.0,Neither,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,5,0,0.0,Northeast,Urban,71.0,38.6,18.0,13.0,,,
5002,50,3,1.0,7.0,1988,2,29.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,9.0,12.0,12.0,12.0,12.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,,"Non-Black, Non-Hispanic",Male,0.0,2,0,0,0,0.0,,,1.0,0.0,0.0,1.0,0.0,0.0,12.0,9.0,6,6,1.0,Northeast,Urban,80.0,44.2,52.0,19.0,1.0,2000.0,1.0
5003,50,3,1.0,6.0,1990,4,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,12.0,12.0,12.0,12.0,12.0,,,,,,,1.0,"Non-Black, Non-Hispanic",Male,0.0,0,0,0,0,,,,,,,,,,12.0,9.0,1,1,1.0,,,,,,,,,
5004,50,3,1.0,6.0,1990,3,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,12.0,12.0,12.0,12.0,12.0,,,,,,,1.0,"Non-Black, Non-Hispanic",Male,0.0,0,0,0,0,,,,,,,,,,12.0,9.0,1,1,1.0,,,,,,,,,
5005,50,3,2.0,11.0,1992,5,34.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,9.0,12.0,12.0,12.0,12.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Non-Black, Non-Hispanic",Female,1.0,4,1,0,0,0.0,0.0,Neither,1.0,0.0,0.0,1.0,0.0,0.0,12.0,9.0,7,7,1.0,Northeast,Urban,108.5,43.4,73.0,13.0,1.0,1500.0,2.0
